order_id,customer_id,order_date,customer_segment,gross_amount,discount_percentage
1001,C-100,2026-01-04,enterprise,1200.00,25
1002,C-101,2026-01-05,consumer,80.50,10
1003,C-102,2026-01-06,enterprise,2400.00,20
1004,C-103,2026-01-07,consumer,50.00,
1005,C-104,2026-01-08,enterprise,1800.00,15
1006,C-105,2026-01-09,consumer,120.75,5
1007,C-106,2026-01-10,enterprise,3200.00,30
1008,C-107,2026-01-11,consumer,64.00,0
1009,C-108,2026-01-12,enterprise,900.00,12
1010,C-109,2026-01-13,consumer,210.40,8
1011,C-110,2026-01-14,enterprise,1500.00,22
1012,C-111,2026-01-15,consumer,95.00,18
1013,C-112,2026-01-16,enterprise,2750.00,28
1014,C-113,2026-01-17,consumer,145.25,
1015,C-114,2026-01-18,enterprise,1100.00,10
1016,C-115,2026-01-19,consumer,72.50,35
1017,C-116,2026-01-20,enterprise,4100.00,18
1018,C-117,2026-01-21,consumer,188.00,14
1019,C-118,2026-01-22,enterprise,1950.00,26
1020,C-119,2026-01-23,consumer,58.90,2
